iter	sc_Vmax(1)	Km(1)	LnPrior	LnData	LnPosterior
585	0.187884	181.908	-7.746466e+00	-1.479759e+03	-1.487505e+03
590	0.17965	181.908	-7.689181e+00	-1.479684e+03	-1.487373e+03
595	0.160671	169.049	-7.440691e+00	-1.481038e+03	-1.488479e+03
600	0.19739	199.386	-7.945832e+00	-1.480438e+03	-1.488384e+03
605	0.198679	199.753	-7.956976e+00	-1.480381e+03	-1.488338e+03
610	0.200295	190.599	-7.897792e+00	-1.481072e+03	-1.488970e+03
615	0.191197	195.958	-7.878942e+00	-1.480698e+03	-1.488577e+03
620	0.177128	173.017	-7.597664e+00	-1.478983e+03	-1.486581e+03
625	0.174318	178.516	-7.623202e+00	-1.479900e+03	-1.487524e+03
630	0.192611	184.925	-7.802630e+00	-1.480262e+03	-1.488064e+03
635	0.183647	184.819	-7.740649e+00	-1.479692e+03	-1.487432e+03
640	0.187536	182.421	-7.748236e+00	-1.479663e+03	-1.487412e+03
645	0.175587	181.114	-7.653644e+00	-1.480339e+03	-1.487992e+03
650	0.175587	164.591	-7.513778e+00	-1.480086e+03	-1.487600e+03
655	0.175587	167.294	-7.537470e+00	-1.479365e+03	-1.486902e+03
660	0.175587	177.637	-7.625165e+00	-1.479443e+03	-1.487069e+03
665	0.175587	173.67	-7.592068e+00	-1.478925e+03	-1.486517e+03
670	0.183134	178.992	-7.689926e+00	-1.479351e+03	-1.487041e+03
675	0.174234	167.301	-7.527711e+00	-1.479036e+03	-1.486564e+03
680	0.173357	172.683	-7.567518e+00	-1.478898e+03	-1.486465e+03
685	0.17663	168.115	-7.552128e+00	-1.479472e+03	-1.487024e+03
690	0.162306	164.625	-7.414782e+00	-1.478825e+03	-1.486239e+03
695	0.162306	161.863	-7.390227e+00	-1.478247e+03	-1.485637e+03
700	0.162306	154.952	-7.327133e+00	-1.478263e+03	-1.485590e+03
705	0.161222	165.323	-7.412532e+00	-1.479302e+03	-1.486714e+03
710	0.161222	151.937	-7.290442e+00	-1.478608e+03	-1.485899e+03
715	0.161222	155.784	-7.326451e+00	-1.477952e+03	-1.485278e+03
720	0.160217	169.42	-7.440340e+00	-1.481442e+03	-1.488882e+03
725	0.160217	151.829	-7.281582e+00	-1.478309e+03	-1.485590e+03
730	0.160217	153.801	-7.300152e+00	-1.477968e+03	-1.485269e+03
735	0.160217	156.525	-7.325468e+00	-1.477826e+03	-1.485151e+03
740	0.163565	154.362	-7.331344e+00	-1.478753e+03	-1.486084e+03
745	0.163565	160.008	-7.383226e+00	-1.478070e+03	-1.485454e+03
750	0.163628	159.393	-7.378143e+00	-1.478078e+03	-1.485456e+03
755	0.160378	162.366	-7.379747e+00	-1.478632e+03	-1.486012e+03
760	0.160378	157.679	-7.337334e+00	-1.477876e+03	-1.485213e+03
765	0.160378	157.679	-7.337334e+00	-1.477876e+03	-1.485213e+03
770	0.160378	154.083	-7.304049e+00	-1.477966e+03	-1.485270e+03
775	0.153245	155.548	-7.260896e+00	-1.478318e+03	-1.485579e+03
780	0.153245	147.85	-7.187932e+00	-1.477318e+03	-1.484506e+03
785	0.153827	141.994	-7.134891e+00	-1.478974e+03	-1.486109e+03
790	0.153827	143.781	-7.152731e+00	-1.478275e+03	-1.485427e+03
795	0.153827	162.684	-7.330501e+00	-1.481168e+03	-1.488499e+03
800	0.156919	154.544	-7.281088e+00	-1.477646e+03	-1.484927e+03
805	0.156919	149.926	-7.237446e+00	-1.477790e+03	-1.485027e+03
810	0.156919	153.323	-7.269660e+00	-1.477580e+03	-1.484849e+03
